,year,type,country,age,species_,month,gender,dead
86,2015.0,Unprovoked,ecuador,55,Galapagos shark,Nov,M,N
87,2015.0,Unprovoked,australia,20,"Bull shark, 2.8 to 3.1 m",Nov,M,N
88,2015.0,Invalid,usa,9,Shark involvement not confirmed,Nov,F,
89,2015.0,Unprovoked,usa,28,3' to 5' shark,Nov,F,N
90,2015.0,Unprovoked,south africa,42,"White shark, 3 to 3.5m ",Oct,M,N
91,2015.0,Unprovoked,usa,21,5' shark,Oct,M,N
92,2015.0,Unprovoked,usa,21,"Spinner shark, 5'",Oct,M,N
93,2015.0,Invalid,usa,32,No shark involvement,Oct,M,
94,2015.0,Unprovoked,usa,44,"Tiger shark, 7'",Oct,M,N
95,2015.0,Unprovoked,usa,25,"Tiger shark, 13' ",Oct,M,N
96,2015.0,Unprovoked,usa,13,4' to 5' shark,Oct,M,N
97,2015.0,Unprovoked,usa,14,"Blacktip shark, 4' to 5'",Oct,M,N
98,2015.0,Unprovoked,usa,22,"Blacktip shark, 5' to 6'",Sep,M,N
99,2015.0,Unprovoked,usa,14,juvenile shark,Sep,M,N
100,2015.0,Unprovoked,usa,27,"Tiger shark, 13'",Sep,M,N
101,2015.0,Unprovoked,usa,12,4' shark,Sep,M,N
102,2015.0,Unprovoked,australia,42,6' shark,Sep,M,N
103,2015.0,Unprovoked,usa,50,"White shark, 11' to 12'",Sep,F,N
104,2015.0,Provoked,usa,29,Hammerhead shark.,Sep,M,N
105,2015.0,Unprovoked,australia,62,"White shark, 2.5 m",Sep,M,N
106,2015.0,Unprovoked,thailand,37,small shark,Sep,F,N
107,2015.0,Unprovoked,usa,54,"White shark, 11' to 12'",Aug,F,N
108,2015.0,Unprovoked,usa,21,"White shark, 10' to 12' ",Aug,M,N
109,2015.0,Unprovoked,usa,15,4' shark,Aug,M,N
110,2015.0,Unprovoked,usa,10,3' shark,Aug,F,N
111,2015.0,Boating,usa,22,"White shark, 13'",Aug,M,N
112,2015.0,Invalid,spain,10,Shark involvement not confirmed,Aug,M,
113,2015.0,Provoked,usa,57,Hammerhead shark. 6' to 7',Aug,M,N
114,2015.0,Unprovoked,australia,52,White shark,Jul,M,N
115,2015.0,Unprovoked,usa,25,"Blacktip or spinner shark, 4'",Jul,M,N
116,2015.0,Invalid,usa,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",Jul,F,
117,2015.0,Unprovoked,australia,46,"White shark, 3.9 to 4.2 m",Jul,M,Y
118,2015.0,Unprovoked,usa,38,"White shark, 7'",Jul,M,N
120,2015.0,Unprovoked,australia,32,White shark,Jul,M,N
121,2015.0,Unprovoked,usa,68,6' to 7' shark,Jul,M,N
122,2015.0,Unprovoked,usa,12,4' to 5' shark,Jun,M,N
123,2015.0,Unprovoked,usa,18,Bull shark,Jun,M,N
124,2015.0,Unprovoked,south africa,19,White shark,Jun,M,N
125,2015.0,Unprovoked,south africa,23,"White shark, 2m to 3 m",Jun,M,N
